venue,city
"Rajiv Gandhi International Stadium, Uppal",Hyderabad
Maharashtra Cricket Association Stadium,Pune
Saurashtra Cricket Association Stadium,Rajkot
Holkar Cricket Stadium,Indore
M Chinnaswamy Stadium,Bangalore
Wankhede Stadium,Mumbai
Eden Gardens,Kolkata
Feroz Shah Kotla,Delhi
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
Green Park,Kanpur
"Punjab Cricket Association Stadium, Mohali",Chandigarh
Sawai Mansingh Stadium,Jaipur
"MA Chidambaram Stadium, Chepauk",Chennai
Dr DY Patil Sports Academy,Mumbai
Newlands,Cape Town
St George's Park,Port Elizabeth
Kingsmead,Durban
SuperSport Park,Centurion
Buffalo Park,East London
New Wanderers Stadium,Johannesburg
De Beers Diamond Oval,Kimberley
OUTsurance Oval,Bloemfontein
Brabourne Stadium,Mumbai
"Sardar Patel Stadium, Motera",Ahmedabad
Barabati Stadium,Cuttack
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
Himachal Pradesh Cricket Association Stadium,Dharamsala
Nehru Stadium,Kochi
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
Subrata Roy Sahara Stadium,Pune
Shaheed Veer Narayan Singh International Stadium,Raipur
JSCA International Stadium Complex,Ranchi
Sheikh Zayed Stadium,Abu Dhabi
Sharjah Cricket Stadium,Sharjah
Dubai International Cricket Stadium,
